TCSPC_Decay_2; IRF IRF	 	TCSPC_Decay_2; Decay	 	Fitted Curve	 	Residuals	 
Time[ns]	Intensity[Cnts]	Time[ns]	Intensity[Cnts]	Time[ns]	Intensity[Cnts]	Time[ns]	Resids.[StdDev.]
 	 	0.559999997762352	3	0.559999997762352	---	0.559999997762352	---
 	 	0.567999997730386	3	0.567999997730386	---	0.567999997730386	---
 	 	0.575999997698419	5	0.575999997698419	---	0.575999997698419	---
 	 	0.583999997666453	5	0.583999997666453	---	0.583999997666453	---
 	 	0.591999997634486	2	0.591999997634486	---	0.591999997634486	---
 	 	0.59999999760252	2	0.59999999760252	---	0.59999999760252	---
 	 	0.607999997570554	2	0.607999997570554	---	0.607999997570554	---
 	 	0.615999997538587	9	0.615999997538587	---	0.615999997538587	---
 	 	0.623999997506621	11	0.623999997506621	---	0.623999997506621	---
 	 	0.631999997474654	3	0.631999997474654	---	0.631999997474654	---
 	 	0.639999997442688	6	0.639999997442688	---	0.639999997442688	---
 	 	0.647999997410722	2	0.647999997410722	---	0.647999997410722	---
 	 	0.655999997378755	6	0.655999997378755	---	0.655999997378755	---
 	 	0.663999997346789	7	0.663999997346789	---	0.663999997346789	---
 	 	0.671999997314822	6	0.671999997314822	---	0.671999997314822	---
 	 	0.679999997282856	3	0.679999997282856	---	0.679999997282856	---
 	 	0.68799999725089	10	0.68799999725089	---	0.68799999725089	---
 	 	0.695999997218923	7	0.695999997218923	---	0.695999997218923	---
 	 	0.703999997186957	10	0.703999997186957	---	0.703999997186957	---
 	 	0.71199999715499	3	0.71199999715499	---	0.71199999715499	---
 	 	0.719999997123024	8	0.719999997123024	---	0.719999997123024	---
 	 	0.727999997091058	4	0.727999997091058	---	0.727999997091058	---
 	 	0.735999997059091	3	0.735999997059091	---	0.735999997059091	---
 	 	0.743999997027125	8	0.743999997027125	---	0.743999997027125	---
 	 	0.751999996995158	8	0.751999996995158	---	0.751999996995158	---
 	 	0.759999996963192	6	0.759999996963192	---	0.759999996963192	---
 	 	0.767999996931226	5	0.767999996931226	---	0.767999996931226	---
 	 	0.775999996899259	2	0.775999996899259	---	0.775999996899259	---
 	 	0.783999996867293	6	0.783999996867293	---	0.783999996867293	---
