TCSPC_Decay_2; Decay	 	Fitted Curve	 	Residuals	 
Time[ns]	Intensity[Cnts]	Time[ns]	Intensity[Cnts]	Time[ns]	Resids.[StdDev.]
0.583999997666453	0.0224215246636771	0.583999997666453	---	0.583999997666453	---
0.591999997634486	0.0168161434977578	0.591999997634486	---	0.591999997634486	---
0.59999999760252	0.0112107623318386	0.59999999760252	---	0.59999999760252	---
0.607999997570554	0.0123318385650224	0.607999997570554	---	0.607999997570554	---
0.615999997538587	0.0112107623318386	0.615999997538587	---	0.615999997538587	---
0.623999997506621	0.0123318385650224	0.623999997506621	---	0.623999997506621	---
0.631999997474654	0.0134529147982063	0.631999997474654	---	0.631999997474654	---
0.639999997442688	0.00896860986547085	0.639999997442688	---	0.639999997442688	---
0.647999997410722	0.0179372197309417	0.647999997410722	---	0.647999997410722	---
0.655999997378755	0.0112107623318386	0.655999997378755	---	0.655999997378755	---
0.663999997346789	0.0134529147982063	0.663999997346789	---	0.663999997346789	---
